payment_id,customer_id,amount,predicted_category,chosen_action,chosen_tone,final_action,gate_status,gate_reason,simulated_attempt_hour
PAY00032,CUST0019,2242.93,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,10
PAY00033,CUST0016,4596.45,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 2/3,9
PAY00034,CUST0018,1823.75,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 1/3,15
PAY00035,CUST0041,1122.39,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,10
PAY00036,CUST0002,1245.73,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,14
PAY00037,CUST0054,1078.15,risk_flag,offer_payment_plan,formal,offer_payment_plan,ALLOWED,contact attempt 1/3,16
PAY00038,CUST0046,4240.14,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,10
PAY00039,CUST0005,1399.92,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,10
PAY00040,CUST0047,1402.9,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,11
PAY00041,CUST0014,4175.62,risk_flag,send_soft_reminder,empathetic,send_soft_reminder,ALLOWED,contact attempt 1/3,13
PAY00042,CUST0030,1778.77,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,13
PAY00043,CUST0039,2866.77,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 2/3,13
PAY00044,CUST0051,249.61,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,13
PAY00045,CUST0013,3927.08,risk_flag,send_soft_reminder,formal,send_soft_reminder,ALLOWED,contact attempt 1/3,12
PAY00046,CUST0046,626.19,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,3
PAY00047,CUST0014,2617.89,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,13
PAY00048,CUST0040,826.45,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,10
PAY00049,CUST0059,4091.64,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,20
PAY00050,CUST0031,2874.44,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 1/3,19
PAY00051,CUST0039,814.9,customer_action_needed,send_update_reminder,empathetic,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 03:00,3
PAY00052,CUST0036,1029.34,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,4
PAY00053,CUST0019,2232.45,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,9
PAY00054,CUST0031,1987.6,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,15
PAY00055,CUST0014,845.15,risk_flag,send_soft_reminder,empathetic,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 23:00,23
PAY00056,CUST0024,3048.3,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,18
PAY00057,CUST0018,846.46,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,17
PAY00058,CUST0043,2829.94,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 1/3,18
PAY00059,CUST0036,2283.22,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,15
PAY00060,CUST0015,2597.98,customer_action_needed,send_update_reminder,formal,send_update_reminder,ALLOWED,contact attempt 2/3,18
PAY00061,CUST0009,4630.94,customer_action_needed,send_update_reminder,formal,human_handoff,BLOCKED,opt-out respected — customer opted out of messaging,10
PAY00062,CUST0060,509.22,risk_flag,send_soft_reminder,empathetic,send_soft_reminder,ALLOWED,contact attempt 1/3,10
PAY00063,CUST0042,2582.76,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,13
PAY00064,CUST0039,1084.39,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,17
PAY00065,CUST0054,1646.62,customer_action_needed,send_update_reminder,formal,send_update_reminder,ALLOWED,contact attempt 2/3,16
PAY00066,CUST0055,3867.56,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,6
PAY00067,CUST0010,3978.89,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,14
PAY00068,CUST0013,1051.26,customer_action_needed,send_update_reminder,formal,send_update_reminder,ALLOWED,contact attempt 2/3,10
PAY00069,CUST0047,2500.24,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 2/3,16
PAY00070,CUST0015,964.22,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,19
PAY00071,CUST0023,1996.79,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,15
PAY00072,CUST0030,3222.23,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,10
PAY00073,CUST0045,2861.75,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 1/3,12
PAY00074,CUST0051,3910.11,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 2/3,11
PAY00075,CUST0046,4875.51,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,10
PAY00076,CUST0046,1836.41,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,12
PAY00077,CUST0025,2299.99,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,10
PAY00078,CUST0041,1730.47,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,10
PAY00079,CUST0010,3516.29,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 2/3,12
PAY00080,CUST0030,3064.38,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,13
PAY00081,CUST0050,4830.84,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,14
PAY00082,CUST0032,4464.74,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,9
PAY00083,CUST0009,4676.91,risk_flag,send_soft_reminder,formal,human_handoff,BLOCKED,opt-out respected — customer opted out of messaging,15
PAY00084,CUST0056,3024.96,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,3
PAY00085,CUST0017,4798.25,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,16
PAY00086,CUST0014,1081.74,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,17
PAY00087,CUST0023,1369.66,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 1/3,16
PAY00088,CUST0003,4031.44,risk_flag,send_soft_reminder,empathetic,send_soft_reminder,ALLOWED,contact attempt 2/3,12
PAY00089,CUST0054,3595.31,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,15
PAY00090,CUST0031,2452.73,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 2/3,15
PAY00091,CUST0060,3615.32,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,12
PAY00092,CUST0024,4804.84,customer_action_needed,send_update_reminder,casual,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 00:00,0
PAY00093,CUST0053,4207.86,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,16
PAY00094,CUST0005,733.98,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 1/3,15
PAY00095,CUST0055,2854.9,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,15
PAY00096,CUST0001,1114.21,risk_flag,send_soft_reminder,formal,send_soft_reminder,ALLOWED,contact attempt 1/3,11
PAY00097,CUST0038,3349.7,risk_flag,send_soft_reminder,formal,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 00:00,0
PAY00098,CUST0031,1579.52,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,18
PAY00099,CUST0016,2270.66,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,10
PAY00100,CUST0012,1719.26,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,16
PAY00101,CUST0054,1229.43,risk_flag,offer_payment_plan,formal,offer_payment_plan,ALLOWED,contact attempt 3/3,17
PAY00102,CUST0027,2341.32,risk_flag,send_soft_reminder,empathetic,send_soft_reminder,ALLOWED,contact attempt 1/3,9
PAY00103,CUST0046,4862.6,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,13
PAY00104,CUST0046,4947.07,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,9
PAY00105,CUST0011,791.0,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,8
PAY00106,CUST0059,3939.38,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,4
PAY00107,CUST0028,2659.37,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,15
PAY00108,CUST0020,3073.07,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,17
PAY00109,CUST0021,3137.69,customer_action_needed,send_update_reminder,formal,send_update_reminder,ALLOWED,contact attempt 1/3,18
PAY00110,CUST0014,2505.3,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,3
PAY00111,CUST0041,3021.26,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,18
PAY00112,CUST0014,3448.4,risk_flag,send_soft_reminder,empathetic,send_soft_reminder,ALLOWED,contact attempt 2/3,9
PAY00113,CUST0018,2690.3,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 2/3,18
PAY00114,CUST0060,3802.35,risk_flag,send_soft_reminder,empathetic,send_soft_reminder,ALLOWED,contact attempt 2/3,13
PAY00115,CUST0057,1021.63,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,21
PAY00116,CUST0027,4034.34,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 2/3,19
PAY00117,CUST0057,545.29,risk_flag,send_soft_reminder,empathetic,human_handoff,BLOCKED,opt-out respected — customer opted out of messaging,11
PAY00118,CUST0024,3223.75,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,10
PAY00119,CUST0011,1205.75,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,11
PAY00120,CUST0038,3550.52,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,18
PAY00121,CUST0030,1231.23,risk_flag,send_soft_reminder,empathetic,send_soft_reminder,ALLOWED,contact attempt 1/3,9
PAY00122,CUST0018,267.45,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,16
PAY00123,CUST0018,2066.81,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 3/3,16
PAY00124,CUST0035,4171.62,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,16
PAY00125,CUST0039,3390.58,risk_flag,send_soft_reminder,empathetic,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 07:00,7
PAY00126,CUST0057,4972.77,customer_action_needed,send_update_reminder,empathetic,human_handoff,BLOCKED,opt-out respected — customer opted out of messaging,18
PAY00127,CUST0038,1853.81,customer_action_needed,send_update_reminder,formal,send_update_reminder,ALLOWED,contact attempt 1/3,14
PAY00128,CUST0008,3589.06,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 1/3,18
PAY00129,CUST0037,1682.24,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 1/3,9
PAY00130,CUST0059,1046.03,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 1/3,16
PAY00131,CUST0028,1203.6,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,15
PAY00132,CUST0006,3966.37,risk_flag,send_soft_reminder,casual,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 05:00,5
PAY00133,CUST0005,2470.38,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,11
PAY00134,CUST0058,3714.18,customer_action_needed,send_update_reminder,casual,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 04:00,4
PAY00135,CUST0031,3531.95,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,12
PAY00136,CUST0014,2321.81,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 3/3,13
PAY00137,CUST0060,2502.42,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,14
PAY00138,CUST0025,1701.96,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,5
PAY00139,CUST0038,352.22,risk_flag,send_soft_reminder,formal,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 06:00,6
PAY00140,CUST0052,247.59,risk_flag,send_soft_reminder,formal,send_soft_reminder,ALLOWED,contact attempt 1/3,15
PAY00141,CUST0008,2406.2,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,12
PAY00142,CUST0044,553.06,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,18
PAY00143,CUST0034,2603.41,risk_flag,send_soft_reminder,empathetic,human_handoff,BLOCKED,opt-out respected — customer opted out of messaging,13
PAY00144,CUST0048,951.08,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,16
PAY00145,CUST0013,2931.64,customer_action_needed,send_update_reminder,formal,send_update_reminder,ALLOWED,contact attempt 3/3,9
PAY00146,CUST0056,1238.77,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,6
PAY00147,CUST0033,479.64,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,15
PAY00148,CUST0017,3271.31,risk_flag,send_soft_reminder,formal,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 00:00,0
PAY00149,CUST0013,661.08,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,19
PAY00150,CUST0052,1287.5,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,16
