payment_id,customer_id,amount,status,failure_reason_raw,true_category,retry_count,timestamp,subscription_id
PAY00135,CUST0031,3531.95,failed,network error during authorization,transient,0,2026-08-20,
PAY00136,CUST0014,2321.81,failed,card expired,customer_action_needed,2,2026-08-18,SUB0007
PAY00137,CUST0060,2502.42,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-03,SUB0021
PAY00138,CUST0025,1701.96,failed,"issuing bank not responding, error 91",transient,1,2026-08-12,
PAY00139,CUST0038,352.22,failed,transaction flagged for suspected fraud,risk_flag,0,2026-08-18,
PAY00140,CUST0052,247.59,failed,insufficient funds - code 51,risk_flag,0,2026-08-11,SUB0012
PAY00141,CUST0008,2406.2,failed,network error during authorization,transient,1,2026-08-13,
PAY00142,CUST0044,553.06,failed,card expired,customer_action_needed,3,2026-08-19,
PAY00143,CUST0034,2603.41,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-02,
PAY00144,CUST0048,951.08,failed,"issuing bank not responding, error 91",transient,0,2026-08-21,SUB0002
PAY00145,CUST0013,2931.64,failed,authentication failed - OTP not entered in time,customer_action_needed,1,2026-08-13,SUB0020
PAY00146,CUST0056,1238.77,failed,"issuing bank not responding, error 91",transient,2,2026-08-16,SUB0016
PAY00147,CUST0033,479.64,failed,"issuing bank not responding, error 91",transient,1,2026-08-13,SUB0008
PAY00148,CUST0017,3271.31,failed,insufficient funds - code 51,risk_flag,0,2026-08-09,SUB0026
PAY00149,CUST0013,661.08,failed,network error during authorization,transient,1,2026-08-21,
PAY00150,CUST0052,1287.5,failed,network error during authorization,transient,2,2026-08-11,SUB0026
